user_id,gender_bool,norm_age,occupation_idx,zip_idx
0,1,0.25757575757575757,19,622
1,0,0.696969696969697,13,689
2,1,0.24242424242424243,20,270
3,1,0.25757575757575757,19,331
4,0,0.3939393939393939,13,133
5,1,0.5303030303030303,6,758
6,1,0.7575757575757576,0,651
7,1,0.43939393939393934,0,48
8,1,0.3333333333333333,18,1
9,1,0.696969696969697,9,642
10,0,0.48484848484848486,13,262
11,0,0.3181818181818182,13,58
12,1,0.6060606060606061,3,243
13,1,0.5757575757575758,17,416
14,0,0.6363636363636364,3,745
15,1,0.2121212121212121,5,97
16,1,0.3484848484848485,14,55
17,0,0.4242424242424242,13,297
18,1,0.5,10,23
19,0,0.5303030303030303,8,727
20,1,0.28787878787878785,20,258
21,1,0.2727272727272727,20,311
22,0,0.3484848484848485,1,364
23,0,0.2121212121212121,1,698
24,1,0.48484848484848486,4,417
25,1,0.6363636363636364,4,192
26,0,0.5,10,254
27,1,0.3787878787878788,20,433
28,1,0.5151515151515151,14,689
29,1,0.0,18,445
30,1,0.25757575757575757,1,88
31,0,0.3181818181818182,18,575
32,1,0.24242424242424243,18,228
33,0,0.4696969696969697,0,319
34,0,0.19696969696969696,8,320
35,0,0.18181818181818182,18,681
36,1,0.24242424242424243,18,415
37,0,0.3181818181818182,13,408
38,1,0.5151515151515151,5,2
39,1,0.4696969696969697,17,230
40,1,0.3939393939393939,4,591
41,1,0.3484848484848485,0,151
42,0,0.3333333333333333,10,186
43,1,0.28787878787878785,19,352
44,1,0.3333333333333333,14,378
45,0,0.30303030303030304,11,353
46,1,0.696969696969697,11,72
47,1,0.5757575757575758,0,118
48,0,0.24242424242424243,18,545
49,1,0.2121212121212121,20,388
50,1,0.3181818181818182,3,142
51,0,0.16666666666666663,18,415
52,1,0.28787878787878785,14,439
53,1,0.2272727272727273,6,512
54,1,0.4545454545454546,14,4
55,1,0.2727272727272727,10,352
56,1,0.13636363636363635,12,603
57,1,0.30303030303030304,14,389
58,1,0.6363636363636364,3,81
