user_id,gender_bool,norm_age,occupation_idx,zip_idx
0,0,0.0,10,1588
1,1,0.9999999999999999,16,2248
2,1,0.43636363636363634,15,1863
3,1,0.7999999999999999,7,140
4,1,0.43636363636363634,20,1938
5,0,0.8909090909090909,9,1863
6,1,0.6181818181818182,1,294
7,1,0.43636363636363634,12,488
8,1,0.43636363636363634,17,2106
9,0,0.6181818181818182,1,3188
10,0,0.43636363636363634,1,224
11,1,0.43636363636363634,12,1165
12,1,0.7999999999999999,1,3009
13,1,0.6181818181818182,0,2026
14,1,0.43636363636363634,7,904
15,0,0.6181818181818182,0,801
16,1,0.8909090909090909,1,3187
17,0,0.3090909090909091,3,3227
18,1,0.0,10,1591
19,1,0.43636363636363634,14,1860
20,1,0.3090909090909091,16,3429
21,1,0.3090909090909091,15,1792
22,1,0.6181818181818182,0,2764
23,0,0.43636363636363634,7,416
24,1,0.3090909090909091,4,42
25,1,0.43636363636363634,7,913
26,1,0.43636363636363634,11,731
27,0,0.43636363636363634,1,615
28,1,0.6181818181818182,7,1213
29,0,0.6181818181818182,7,734
30,1,0.9999999999999999,7,296
31,0,0.43636363636363634,0,746
32,1,0.7999999999999999,3,1915
33,0,0.3090909090909091,0,101
34,1,0.7999999999999999,1,149
35,1,0.43636363636363634,3,3068
36,0,0.43636363636363634,9,2212
37,0,0.3090909090909091,4,120
38,1,0.3090909090909091,4,2112
39,1,0.7999999999999999,0,441
40,0,0.3090909090909091,4,637
41,1,0.43636363636363634,8,947
42,1,0.43636363636363634,12,2078
43,1,0.7999999999999999,17,3343
44,0,0.7999999999999999,16,3057
45,1,0.3090909090909091,19,2361
46,1,0.3090909090909091,4,3077
47,1,0.43636363636363634,4,2916
48,1,0.3090909090909091,12,2416
49,0,0.43636363636363634,2,3369
50,0,0.0,10,443
51,1,0.3090909090909091,4,2278
52,1,0.43636363636363634,0,3264
53,1,0.8909090909090909,1,1966
54,0,0.6181818181818182,12,1876
55,1,0.6181818181818182,20,2047
