user_id,item_id
0,4954
0,9193
0,10286
0,3676
0,11763
1,1903
1,2147
1,7348
1,16952
1,14060
2,16676
2,15487
2,15483
2,15503
3,7504
3,14431
3,5740
4,11502
4,7113
4,8023
5,5686
5,8597
5,12072
6,8168
6,9973
6,4946
6,7040
7,3901
7,9961
7,13045
8,6280
8,18882
8,11462
9,5238
9,12560
9,19671
10,3387
10,12125
10,22297
11,15604
11,7603
11,10857
12,5220
12,21355
12,2148
13,660
13,712
13,6704
13,5345
13,5727
14,4541
14,340
14,419
14,713
14,2011
14,2363
14,11984
14,416
14,1148
15,1697
15,4954
15,8787
16,12336
16,22634
16,14783
17,18669
17,519
17,13707
17,12998
17,15767
17,19170
17,14782
17,21334
17,16049
18,13756
18,13964
18,9745
18,18875
18,18876
19,17528
19,18308
19,21401
19,21302
20,7897
20,13786
20,17982
20,14774
20,18720
20,16981
20,19084
21,15370
21,5321
21,14198
21,17817
21,7112
21,18253
21,6252
22,2189
22,471
22,12541
23,6850
23,20514
23,6791
23,6817
23,19137
23,12166
23,18765
23,19704
23,9139
23,11826
24,1684
24,12242
24,21514
25,9064
25,16349
25,5322
25,15767
26,4730
26,16127
26,21837
26,4977
26,8075
26,10933
26,1507
26,16157
26,16186
26,20504
26,16187
27,981
27,1819
27,15053
28,629
28,10272
28,19171
29,1254
29,17552
29,21545
30,5452
30,10994
30,17081
31,922
31,1221
31,1486
31,1489
31,68
32,8763
32,8072
32,8319
32,14648
33,8029
33,9516
33,8810
34,3554
34,10462
34,16948
35,9475
35,12527
35,16394
36,19144
36,21080
36,15847
36,15971
37,3168
37,2520
37,7091
37,7522
38,12640
38,12644
38,22288
39,1621
39,10999
39,18534
40,5096
40,14227
40,5185
41,17627
41,20645
41,20967
42,13807
42,16930
42,19937
43,12640
43,18357
43,18740
43,1075
43,13457
43,14981
43,3048
43,9694
43,6833
43,15052
43,21993
43,4510
44,6946
44,15428
44,20256
45,15490
45,12527
45,15478
46,10873
46,2045
46,3789
46,7444
47,12508
47,3609
47,12133
47,19013
47,2333
48,18698
48,20339
48,20420
48,3120
48,8421
48,17257
48,22183
48,2531
49,6301
49,8924
49,10162
50,1883
50,14200
50,9984
50,10804
51,16336
51,18102
51,565
52,9540
52,11390
52,21181
53,7392
53,2435
53,3348
54,14917
54,18190
54,21557
55,423
55,12739
55,6429
56,9217
56,15912
56,15926
57,15448
57,15464
57,17286
58,14131
58,14646
58,14234
58,18387
58,4741
58,21706
59,10010
59,6977
59,15647
59,18787
60,928
60,12216
60,16240
61,8020
61,10194
61,11893
61,15858
62,13193
62,774
62,7557
62,15603
62,21963
62,22706
62,3197
62,15687
62,5672
62,21122
62,19602
63,3898
63,12078
63,15444
63,22234
63,15456
63,22395
63,14845
63,20717
63,21389
63,22491
64,1963
64,7604
64,3372
64,7972
65,6833
65,13351
65,21582
66,7707
66,12601
66,5695
67,11332
67,1502
67,674
67,933
68,1878
68,5492
68,14080
68,15130
69,3679
69,3818
69,9625
69,16943
70,15
70,8381
70,17326
71,15297
71,6313
71,10705
72,5449
72,14679
72,15618
72,18475
72,15591
72,6185
72,12761
72,13519
72,17556
72,21620
73,6130
73,16094
73,19166
74,3023
74,1712
74,2676
74,3761
75,9073
75,2199
75,4854
75,6841
75,8841
75,20713
75,20932
75,8439
76,11506
76,2784
76,4534
77,7245
77,7296
77,205
77,18809
77,6440
78,4646
78,8525
78,13297
79,5802
79,12730
79,1528
80,9590
80,566
80,15034
81,739
81,2302
81,8847
82,1446
82,445
82,7181
82,8099
83,11054
83,29
83,10223
84,4254
84,11566
84,12062
85,9276
85,9280
85,15824
86,10330
86,20089
86,19172
86,6604
87,635
87,2015
87,10928
87,7374
87,16454
87,2359
87,5827
87,6417
87,7473
88,1346
88,3959
88,20259
89,15472
89,15971
89,17284
89,17286
90,20700
90,15867
90,16988
90,18206
90,21464
91,15205
91,5689
91,21562
91,22336
92,20319
92,21518
92,21546
92,21543
92,21519
92,21555
92,21562
93,565
93,13595
93,11788
94,3530
94,8466
94,9790
94,12676
95,3439
95,18181
95,21820
95,12290
95,17433
96,6973
96,12527
96,16519
96,13726
97,96
97,19745
97,20033
98,3149
98,5959
98,2828
99,2176
99,3089
99,9412
99,1750
100,4507
100,124
100,2661
100,878
100,10670
100,16778
100,3986
101,5684
101,18281
101,168
101,5969
102,1796
102,8872
102,13515
102,17660
102,19058
103,1293
103,14696
103,9048
104,11587
104,7299
104,16750
104,3043
104,3723
104,2394
104,1274
104,1939
105,16590
105,7853
105,10587
106,11521
106,12628
106,3620
106,13729
106,14369
106,14401
106,5127
107,15454
107,13921
107,17688
108,1855
108,10586
108,13818
109,3569
109,2108
109,4600
109,9396
110,626
110,1654
110,5131
110,9811
110,2626
110,9429
110,1845
110,14659
111,10872
111,20557
111,21515
112,7028
112,4
112,9
112,2661
112,15820
113,2671
113,3883
113,5827
113,5909
114,8045
114,1084
114,6877
114,4415
114,1254
115,1495
115,1727
115,6683
116,18739
116,21496
116,21693
117,1551
117,9046
117,7983
117,9267
117,13894
118,4898
118,3483
118,6766
118,13182
118,15049
118,15051
119,12449
119,11951
119,11094
120,7473
120,20686
120,21634
120,22806
120,18661
121,718
121,17833
121,1984
122,7123
122,20167
122,606
122,15258
122,8918
122,9681
122,17188
122,1450
122,13936
122,1007
122,5567
122,11200
123,11028
123,11029
123,11033
124,13772
124,4982
124,3372
125,21504
125,773
125,2252
125,4561
125,8074
125,12527
125,14548
125,15205
125,21265
125,21395
125,21516
125,21554
126,17610
126,12754
126,386
127,20552
127,10540
127,16693
128,4477
128,17096
128,3034
128,4092
129,4322
129,7923
129,8038
129,20923
130,655
130,15528
130,17639
130,6297
130,12241
130,17634
130,265
130,1317
130,16171
131,4914
131,761
131,19037
131,922
131,1944
131,2649
131,5789
131,7936
131,11845
131,3482
131,11861
131,2003
132,6595
132,7228
132,11031
133,11109
133,2344
133,8484
133,889
134,1419
134,2654
134,1541
135,12382
135,12527
135,13256
135,22521
136,14943
136,19117
136,15297
137,2328
137,3834
137,6687
137,8199
137,13354
137,12687
137,2880
137,13316
137,13171
137,13975
137,12688
137,13549
137,17662
137,8943
137,19592
137,14289
137,13143
137,13210
137,21582
137,13315
137,18791
138,206
138,3841
138,18980
138,9438
139,19204
139,11953
139,21864
140,11282
140,1774
140,5863
140,3337
140,6961
141,183
141,3834
141,10497
141,16184
141,18637
142,2043
142,4496
142,6334
142,6954
142,10656
142,10804
142,12707
142,13044
142,15899
143,10011
143,4845
143,16871
143,16070
143,19054
144,268
144,7358
144,9096
145,837
145,14920
145,16593
145,22172
145,3582
146,11793
146,19032
146,4612
147,6827
147,7955
147,17560
148,17190
148,17780
148,20241
148,3273
148,8839
148,13266
149,12899
149,13222
149,19222
149,5365
149,11927
149,11928
150,1914
150,2014
150,2190
151,166
151,3490
151,7303
151,14820
152,3138
152,14862
152,19130
153,22621
153,592
153,12240
153,13526
153,15647
153,14157
153,20713
153,20906
153,21709
153,19166
154,908
154,12346
154,5949
155,10378
155,5626
155,4986
155,5517
156,4384
156,11010
156,6512
156,10929
156,4230
156,13405
156,2455
156,8301
157,1440
157,4282
157,10170
157,11214
157,3391
157,16860
157,20236
157,17849
157,11328
157,449
157,9884
157,21628
158,12038
158,4365
158,8193
159,1639
159,8045
159,22627
160,6641
160,12495
160,8980
160,2586
161,4867
161,10982
161,2386
162,7355
162,5836
162,12779
162,10357
162,5150
163,6545
163,1503
163,5673
164,1234
164,12242
164,7448
165,13949
165,17688
165,21001
165,21974
165,5168
165,7582
165,15442
165,18032
165,18771
165,19388
165,20428
166,5718
166,9343
166,4183
166,123
167,7793
167,8535
167,5399
167,11854
168,1333
168,7551
168,3801
169,15869
169,639
169,3469
170,4528
170,6559
170,8034
171,1365
171,5727
171,7241
171,8058
172,4689
172,5182
172,7827
172,6601
172,12805
172,250
172,16312
172,6089
172,7716
173,2230
173,18624
173,4372
173,9928
173,12443
173,11584
174,17893
174,14940
174,17644
174,22275
174,20023
174,20091
174,12975
175,13566
175,21278
175,5521
175,6901
175,9499
175,6568
176,5922
176,4606
176,7262
177,14887
177,1437
177,1053
178,852
178,2189
178,6756
178,6301
178,9461
178,11475
178,21106
178,8198
178,21791
179,19523
179,4011
179,17526
179,286
179,6239
179,4205
179,16423
180,14655
180,17352
180,21398
180,17831
181,4377
181,6258
181,6752
182,14309
182,7791
182,2009
182,9319
182,3615
182,7902
183,8719
183,369
183,10152
184,4554
184,4553
184,112
185,7157
185,15044
185,16150
185,22286
186,18651
186,6838
186,1008
186,16068
187,10358
187,5186
187,718
187,5282
187,17449
187,3200
187,18211
187,22367
187,6366
187,22459
188,5523
188,8592
188,3198
189,1979
189,11857
189,20446
190,16592
190,4726
190,796
190,3990
190,4643
191,6189
191,6486
191,11333
192,6200
192,8360
192,9816
192,14075
192,15039
192,16356
192,18234
192,18982
192,19398
192,21393
192,21468
192,22321
192,15489
192,10070
193,19742
193,21315
193,21294
193,22116
193,22832
193,22833
193,15205
193,12527
193,22493
193,22546
193,20319
193,22689
193,20739
194,389
194,2834
194,12512
195,947
195,3033
195,11059
196,10326
196,12030
196,13510
197,16665
197,16723
197,17433
197,17925
197,18483
197,20199
198,10413
198,10816
198,11718
199,3132
199,16098
199,16394
200,1076
200,1080
200,1311
200,6437
200,645
200,9257
201,11922
201,20016
201,18853
201,19758
202,4928
202,13497
202,30
202,2701
202,11264
202,16530
202,12219
202,16165
202,4097
202,342
202,2337
202,9653
202,17701
203,3644
203,7461
203,8378
203,20146
203,17558
204,5489
204,12675
204,15263
204,17829
205,2031
205,5284
205,11263
206,6679
206,18802
206,19406
207,290
207,16125
207,3416
208,3543
208,3544
208,7332
208,15156
208,3038
208,2684
208,2783
208,14117
208,20826
209,13527
209,14958
209,15516
210,16540
210,12910
210,10426
211,3450
211,10443
211,12697
212,1739
212,6604
212,10534
213,14669
213,6335
213,2148
214,2178
214,92
214,8358
215,13199
215,14286
215,15018
215,15859
215,18533
215,20936
216,10157
216,7722
216,10901
217,22140
217,22223
217,22232
218,2308
218,5320
218,10985
219,20931
219,21734
219,22094
220,13536
220,13427
220,18872
221,3869
221,9140
221,11871
221,17240
222,7411
222,7782
222,3561
222,13916
222,3445
223,4928
223,4001
223,11793
224,5759
224,360
224,11953
225,9753
